,SLWL,SLWR,SCL,SCR,SRWL,SRWR,SDL,SDR,GLWL,GLWR,GCL,GCR,GRWL,GRWR,GDL,GDR,Goalie_Catches,Saved_Shots_Total,Goals_Total,Shots_Total,SV%,SV%_Left,SV%_Right,SV%_LeftWing_Total,SV%_LeftWing_Left,SV%_LeftWing_Right,SV%_Center_Total,SV%_Center_Left,SV%_Center_Right,SV%_RightWing_Total,SV%_RightWing_Left,SV%_RightWing_Right,SV%_Defense_Total,SV%_Defense_Left,SV%_Defense_Right,player_id,player_name
8473503,126,8,125,95,31,86,97,87,11,1,16,13,2,10,7,4,L,655,64,719,0.9109874826147427,0.9132530120481928,0.9078947368421053,0.9178082191780822,0.9197080291970803,0.8888888888888888,0.8835341365461847,0.8865248226950354,0.8796296296296297,0.9069767441860465,0.9393939393939394,0.8958333333333334,0.9435897435897436,0.9326923076923077,0.9560439560439561,8473503,James Reimer
8474593,242,42,246,179,92,130,210,173,22,3,31,23,11,18,8,7,L,1314,123,1437,0.9144050104384134,0.9164733178654292,0.9113043478260869,0.919093851132686,0.9166666666666666,0.9333333333333333,0.8872651356993737,0.8880866425992779,0.8861386138613861,0.8844621513944223,0.8932038834951457,0.8783783783783784,0.9623115577889447,0.963302752293578,0.9611111111111111,8474593,Jacob Markstrom
8475683,235,25,286,172,76,142,212,207,37,5,28,28,8,18,20,13,L,1355,157,1512,0.8961640211640212,0.8968957871396895,0.8950819672131147,0.8609271523178808,0.8639705882352942,0.8333333333333334,0.8910505836575876,0.910828025477707,0.86,0.8934426229508197,0.9047619047619048,0.8875,0.9269911504424779,0.9137931034482759,0.9409090909090909,8475683,Sergei Bobrovsky
8473541,249,17,247,155,55,122,212,176,32,5,30,26,4,17,9,5,L,1233,128,1361,0.9059515062454078,0.9105011933174224,0.8986615678776291,0.8778877887788779,0.8861209964412812,0.7727272727272727,0.8777292576419214,0.8916967509025271,0.856353591160221,0.8939393939393939,0.9322033898305084,0.8776978417266187,0.9651741293532339,0.9592760180995475,0.9723756906077348,8473541,Jonathan Bernier
8475195,97,11,107,55,46,39,102,114,11,3,14,12,6,3,10,2,L,571,61,632,0.9034810126582279,0.8956743002544529,0.9163179916317992,0.8852459016393442,0.8981481481481481,0.7857142857142857,0.8617021276595744,0.8842975206611571,0.8208955223880597,0.9042553191489362,0.8846153846153846,0.9285714285714286,0.9473684210526315,0.9107142857142857,0.9827586206896551,8475195,Anders Nilsson
8476945,262,42,351,207,113,144,309,230,20,3,44,29,12,15,13,8,L,1658,144,1802,0.9200887902330743,0.9208185053380783,0.9188790560471977,0.9296636085626911,0.9290780141843972,0.9333333333333333,0.884310618066561,0.8886075949367088,0.8771186440677966,0.9049295774647887,0.904,0.9056603773584906,0.9625,0.9596273291925466,0.9663865546218487,8476945,Connor Hellebuyck
8471750,229,36,233,175,50,117,207,168,28,4,33,18,4,10,8,7,L,1215,112,1327,0.9155990957045969,0.9078282828282829,0.9271028037383178,0.8922558922558923,0.8910505836575876,0.9,0.8888888888888888,0.8759398496240601,0.9067357512953368,0.9226519337016574,0.9259259259259259,0.9212598425196851,0.9615384615384616,0.9627906976744186,0.96,8471750,Ben Bishop
8470860,128,21,183,86,49,89,161,150,12,1,22,12,5,8,13,10,L,867,83,950,0.9126315789473685,0.9092495636998255,0.9177718832891246,0.9197530864197531,0.9142857142857143,0.9545454545454546,0.8877887788778878,0.8926829268292683,0.8775510204081632,0.9139072847682119,0.9074074074074074,0.9175257731958762,0.9311377245508982,0.9252873563218391,0.9375,8470860,Jaroslav Halak
8471306,143,18,152,92,56,71,112,125,12,1,15,6,7,15,11,9,L,769,76,845,0.9100591715976332,0.9114173228346457,0.9080118694362018,0.9252873563218391,0.9225806451612903,0.9473684210526315,0.9207547169811321,0.9101796407185628,0.9387755102040817,0.8523489932885906,0.8888888888888888,0.8255813953488372,0.9221789883268483,0.9105691056910569,0.9328358208955224,8471306,Thomas Greiss
8477293,148,28,185,122,40,107,176,129,25,2,26,6,8,9,4,2,L,935,82,1017,0.9193706981317601,0.8970588235294118,0.9530864197530864,0.8669950738916257,0.8554913294797688,0.9333333333333333,0.9056047197640118,0.8767772511848341,0.953125,0.8963414634146342,0.8333333333333334,0.9224137931034483,0.9807073954983923,0.9777777777777777,0.9847328244274809,8477293,Antti Raanta
8475839,62,9,73,62,20,28,60,70,12,3,12,11,3,4,4,3,R,384,52,436,0.8807339449541285,0.8739837398373984,0.8894736842105263,0.8255813953488372,0.8378378378378378,0.75,0.8544303797468354,0.8588235294117647,0.8493150684931506,0.8727272727272727,0.8695652173913043,0.875,0.948905109489051,0.9375,0.958904109589041,8475839,Louis Domingue
8476234,29,5,29,24,6,15,31,29,6,1,4,5,1,5,2,0,L,168,24,192,0.875,0.8796296296296297,0.8690476190476191,0.8292682926829268,0.8285714285714286,0.8333333333333334,0.8548387096774194,0.8787878787878788,0.8275862068965517,0.7777777777777778,0.8571428571428571,0.75,0.967741935483871,0.9393939393939394,1.0,8476234,Keith Kinkaid
8470880,142,11,159,81,43,84,120,103,19,0,24,12,4,13,6,8,L,743,86,829,0.8962605548854041,0.8974854932301741,0.8942307692307693,0.8895348837209303,0.8819875776397516,1.0,0.8695652173913043,0.8688524590163934,0.8709677419354839,0.8819444444444444,0.9148936170212766,0.865979381443299,0.9409282700421941,0.9523809523809523,0.9279279279279279,8470880,Brian Elliott
8470594,218,27,275,183,55,155,209,163,32,3,35,26,10,20,8,10,L,1285,144,1429,0.8992302309307207,0.8990498812351544,0.899488926746167,0.875,0.872,0.9,0.882466281310212,0.8870967741935484,0.8755980861244019,0.875,0.8461538461538461,0.8857142857142857,0.9538461538461539,0.9631336405529954,0.9421965317919075,8470594,Marc-Andre Fleury
8475660,119,27,157,93,24,70,122,105,12,3,20,7,6,9,2,6,L,717,65,782,0.9168797953964194,0.9134199134199135,0.921875,0.906832298136646,0.9083969465648855,0.9,0.9025270758122743,0.8870056497175142,0.93,0.8623853211009175,0.8,0.8860759493670886,0.9659574468085106,0.9838709677419355,0.9459459459459459,8475660,Cam Talbot
8471239,50,5,61,48,12,40,53,46,13,1,7,7,2,5,4,1,L,315,40,355,0.8873239436619719,0.8712871287128713,0.9084967320261438,0.7971014492753623,0.7936507936507936,0.8333333333333334,0.8861788617886179,0.8970588235294118,0.8727272727272727,0.8813559322033898,0.8571428571428571,0.8888888888888888,0.9519230769230769,0.9298245614035088,0.9787234042553191,8471239,Cory Schneider
8476899,165,20,219,120,46,80,153,147,24,2,25,15,10,13,10,9,L,950,108,1058,0.8979206049149339,0.8941717791411042,0.9039408866995073,0.8767772511848341,0.873015873015873,0.9090909090909091,0.8944591029023746,0.8975409836065574,0.8888888888888888,0.8456375838926175,0.8214285714285714,0.8602150537634409,0.9404388714733543,0.9386503067484663,0.9423076923076923,8476899,Matt Murray
